127.0.0.1, 2015-12-03 13:04:02, GET, /, HTTP/1.1, 303, 0.181419
127.0.0.1, 2015-12-03 13:04:02, GET, /welcome/default/index, HTTP/1.1, 404, 0.000448
127.0.0.1, 2015-12-03 13:04:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000301
127.0.0.1, 2015-12-03 13:04:16, GET, /project_bacon/default/, HTTP/1.1, 200, 0.175026
127.0.0.1, 2015-12-03 13:04:16, GET, /project_bacon/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000482
127.0.0.1, 2015-12-03 13:04:16, GET, /project_bacon/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000330
127.0.0.1, 2015-12-03 13:04:16, GET, /project_bacon/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000327
127.0.0.1, 2015-12-03 13:04:16, GET, /project_bacon/static/css/jquery-ui.min.css, HTTP/1.1, 200, 0.000323
127.0.0.1, 2015-12-03 13:04:16, GET, /project_bacon/static/css/jquery-ui.structure.min.css, HTTP/1.1, 200, 0.000321
127.0.0.1, 2015-12-03 13:04:16, GET, /project_bacon/static/css/jquery-ui.theme.min.css, HTTP/1.1, 200, 0.000318
127.0.0.1, 2015-12-03 13:04:16, GET, /project_bacon/static/css/myapp.css, HTTP/1.1, 200, 0.000344
127.0.0.1, 2015-12-03 13:04:16, GET, /project_bacon/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000353
127.0.0.1, 2015-12-03 13:04:16, GET, /project_bacon/static/js/ractive.min.js, HTTP/1.1, 200, 0.000345
127.0.0.1, 2015-12-03 13:04:16, GET, /project_bacon/static/js/jquery.js, HTTP/1.1, 200, 0.000333
127.0.0.1, 2015-12-03 13:04:16, GET, /project_bacon/static/css/calendar.css, HTTP/1.1, 200, 0.000408
127.0.0.1, 2015-12-03 13:04:16, GET, /project_bacon/static/js/calendar.js, HTTP/1.1, 200, 0.000345
127.0.0.1, 2015-12-03 13:04:16, GET, /project_bacon/static/js/web2py.js, HTTP/1.1, 200, 0.000329
127.0.0.1, 2015-12-03 13:04:16, GET, /project_bacon/static/js/bacon.js, HTTP/1.1, 200, 0.000574
127.0.0.1, 2015-12-03 13:04:16, GET, /project_bacon/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000337
127.0.0.1, 2015-12-03 13:04:16, GET, /project_bacon/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000335
127.0.0.1, 2015-12-03 13:04:16, GET, /project_bacon/static/js/jquery-ui.min.js, HTTP/1.1, 200, 0.000331
127.0.0.1, 2015-12-03 13:04:16, GET, /project_bacon/static/js/share.js, HTTP/1.1, 200, 0.000448
127.0.0.1, 2015-12-03 13:04:16, GET, /project_bacon/static/images/egg.gif, HTTP/1.1, 200, 0.000491
127.0.0.1, 2015-12-03 13:04:16, GET, /project_bacon/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000319
127.0.0.1, 2015-12-03 13:04:17, GET, /project_bacon/static/images/twitter.png, HTTP/1.1, 200, 0.000494
127.0.0.1, 2015-12-03 13:04:17, GET, /project_bacon/static/images/facebook.png, HTTP/1.1, 200, 0.000516
127.0.0.1, 2015-12-03 13:04:17, GET, /project_bacon/static/images/gplus-32.png, HTTP/1.1, 200, 0.000551
127.0.0.1, 2015-12-03 13:04:17, GET, /project_bacon/static/images/favicon.ico, HTTP/1.1, 200, 0.000528
